feature;length;width;thickness;weight;type;cortex;burned;mod
15;17;16;5;1,6;blade;no cortex;unburned;mod
30;33;12;3;1,2;blade;no cortex;unburned;unmod
85;23;20;5;2;blade;no cortex;unburned;unmod
97;44;29;9;15,7;flake;cortex;unburned;unmod
97;48;35;14;21,9;flake;cortex;unburned;unmod
112;34;31;6;5,1;flake;no cortex;unburned;unmod
112;51;40;12;18,4;flake;no cortex;unburned;unmod
115;39;25;8;7,9;flake;no cortex;unburned;mod
121;25;15;4;1,5;blade;no cortex;unburned;unmod
134;37;17;4;2,7;flake;cortex;unburned;unmod
135;25;20;6;2,7;flake;no cortex;unburned;unmod
145;24;21;3;2;blade;no cortex;unburned;unmod
145;29;17;6;3,3;flake;cortex;unburned;unmod
159;21;11;8;1,7;other;no cortex;unburned;unmod
211;18;14;3;1,1;blade;no cortex;unburned;mod
219;19;15;5;1;blade;no cortex;burned;unmod
228;24;17;6;2,2;flake;no cortex;burned;unmod
248;38;33;16;24,4;flake;cortex;unburned;mod
250;20;15;3;0,8;blade;no cortex;unburned;unmod
251;28;14;3;1,4;blade;cortex;unburned;unmod
252;23;18;5;2,9;blade;no cortex;burned;unmod
253;26;23;4;2,3;blade;no cortex;burned;unmod
253;23;22;5;2,9;blade;no cortex;burned;unmod
254;24;20;6;2,6;flake;no cortex;unburned;unmod
282;14;12;3;0,3;flake;cortex;unburned;unmod
285;57;44;36;117,4;other;cortex;burned;unmod
285;48;15;6;4,5;blade;no cortex;unburned;mod
285;26;20;5;2,4;flake;no cortex;NA;unmod
285;54;27;17;27,1;flake;cortex;unburned;unmod
288;44;35;12;17,1;flake;no cortex;unburned;mod
340;38;27;5;8;blade;no cortex;unburned;mod
340;43;35;23;41;other;cortex;unburned;unmod
340;29;22;9;3,8;blade;cortex;unburned;unmod
348;31;29;8;6,9;flake;no cortex;unburned;unmod
348;19;14;2;0,5;flake;no cortex;unburned;unmod
348;19;13;6;0,9;flake;no cortex;burned;unmod
348;29;19;3;1,3;flake;no cortex;unburned;mod
353;17;16;7;1,7;flake;no cortex;burned;unmod
384;27;21;5;2,7;blade;no cortex;unburned;unmod
453;18;15;4;1,1;blade;no cortex;burned;unmod
463;17;13;2;0,5;other;no cortex;burned;unmod
463;10;7;2;0,2;other;no cortex;burned;unmod
463;16;10;2;0,3;other;no cortex;burned;unmod
463;26;25;5;2;flake;cortex;burned;unmod
463;31;10;7;1,6;flake;cortex;burned;unmod
463;33;26;7;4,2;flake;cortex;burned;unmod
463;21;20;4;1,8;flake;cortex;burned;unmod
463;21;16;5;1,5;flake;no cortex;unburned;unmod
463;34;14;3;1,9;blade;no cortex;unburned;unmod
464;56;34;17;33,7;flake;cortex;unburned;unmod
494;37;24;10;8;other;no cortex;burned;unmod
494;12;9;5;0,6;other;cortex;unburned;unmod
495;30;16;4;1,4;flake;no cortex;unburned;mod
496;74;21;8;11,1;blade;no cortex;unburned;mod
505;28;12;3;1,2;flake;no cortex;unburned;mod
512;24;18;3;0,9;flake;no cortex;unburned;unmod
512;18;18;2;0,7;flake;cortex;unburned;unmod
524;33;20;6;3,4;flake;no cortex;unburned;unmod
530;22;16;5;2,1;flake;cortex;unburned;unmod
587;30;28;9;8,9;flake;no cortex;unburned;unmod
600;21;12;5;1,2;flake;no cortex;unburned;unmod
676;12;9;1;0,2;flake;no cortex;unburned;unmod
708;18;13;3;0,8;blade;no cortex;unburned;mod
708;26;15;4;1,3;flake;cortex;unburned;mod
708;22;17;3;0,9;flake;no cortex;unburned;mod
708;33;16;3;1,4;blade;no cortex;unburned;mod
708;32;18;4;1,8;flake;no cortex;unburned;mod
708;22;16;3;0,8;flake;no cortex;unburned;mod
708;22;17;3;1,2;flake;no cortex;unburned;mod
708;17;15;3;0,7;flake;no cortex;unburned;mod
716;NA;NA;NA;NA;flake;NA;NA;mod
716;31;18;4;1,6;blade;no cortex;unburned;mod
821;22;19;4;1,9;blade;no cortex;unburned;unmod
924;39;28;11;11,7;other;no cortex;unburned;unmod
1041;21;14;11;2,4;other;cortex;burned;unmod
1041;26;22;5;2,7;flake;no cortex;unburned;unmod
1084;20;18;5;1,5;blade;no cortex;unburned;unmod
1096;53;31;13;24,5;flake;cortex;unburned;unmod
1146;28;20;5;3,5;blade;no cortex;burned;unmod
1146;46;39;11;17,2;flake;no cortex;unburned;mod
1180;53;40;9;14,5;flake;no cortex;unburned;unmod
